years;Province_Code;Province_name;General_Total-Total;General_Total-Male;General_Total-Female;Illiterate-Total;Illiterate-Male;Illiterate-Female;_Literate_without_a_diploma-Total;_Literate_without_a_diploma-Male;_Literate_without_a_diploma-Female;Primary_school-Total;Primary_school-Male;Primary_school-Female;Primary_education-Total;Primary_education-Male;Primary_education-Female;Lower_secondary_school-Total;Lower_secondary_school-Male;Lower_secondary_school-Female;Upper_secondary_school-Total;Upper_secondary_school-Male;Upper_secondary_school-Female;Universities_and_other_higher_educational_institutions-Total;Universities_and_other_higher_educational_institutions-Male;Universities_and_other_higher_educational_institutions-Female;Master_(Including_5_or_6_Years_Faculties)-Total;Master_(Including_5_or_6_Years_Faculties)-Male;Master_(Including_5_or_6_Years_Faculties)-Female;Doctorate-Total;Doctorate-Male;Doctorate-Female;_Unknown-Total;_Unknown-Male;_Unknown-Female
2008;46;Kahramanmaraş;  704 015;  354 365;  349 650;  96 858;  18 778;  78 080;  52 528;  22 745;  29 783;  235 710;  123 193;  112 517;  94 661;  48 904;  45 757;  33 068;  23 096;  9 972;  111 467;  69 986;  41 481;  29 978;  20 366;  9 612;  1 596;  1 120;   476;   406;   312;   94;  47 743;  25 865;  21 878
2008;47;Mardin;  458 594;  229 950;  228 644;  106 171;  25 341;  80 830;  64 196;  27 733;  36 463;  92 916;  55 157;  37 759;  64 400;  38 300;  26 100;  12 050;  8 382;  3 668;  63 538;  44 817;  18 721;  11 880;  8 538;  3 342;   748;   540;   208;   99;   71;   28;  42 596;  21 071;  21 525
2008;48;Muğla;  620 661;  317 658;  303 003;  31 399;  5 607;  25 792;  26 115;  10 456;  15 659;  266 395;  133 019;  133 376;  57 056;  30 387;  26 669;  29 381;  18 849;  10 532;  115 880;  64 458;  51 422;  47 792;  27 685;  20 107;  2 051;  1 234;   817;   536;   362;   174;  44 056;  25 601;  18 455
2008;49;Muş;  238 333;  121 818;  116 515;  57 405;  13 339;  44 066;  42 638;  20 174;  22 464;  44 290;  28 854;  15 436;  27 613;  18 276;  9 337;  5 439;  4 131;  1 308;  23 809;  18 066;  5 743;  4 753;  3 315;  1 438;   204;   151;   53;   46;   29;   17;  32 136;  15 483;  16 653
2008;50;Nevşehir;  209 092;  102 093;  106 999;  18 429;  2 430;  15 999;  11 409;  3 941;  7 468;  90 509;  43 465;  47 044;  24 889;  12 622;  12 267;  11 596;  7 897;  3 699;  33 510;  19 939;  13 571;  10 609;  6 981;  3 628;   409;   273;   136;   102;   78;   24;  7 630;  4 467;  3 163
2008;51;Niğde;  241 579;  119 721;  121 858;  26 189;  3 739;  22 450;  14 463;  5 528;  8 935;  97 501;  50 627;  46 874;  30 734;  15 609;  15 125;  10 340;  7 038;  3 302;  37 136;  21 955;  15 181;  12 336;  7 616;  4 720;   714;   461;   253;   241;   183;   58;  11 925;  6 965;  4 960
2008;52;Ordu;  544 142;  269 350;  274 792;  84 255;  17 338;  66 917;  40 676;  18 367;  22 309;  187 093;  99 699;  87 394;  59 862;  30 460;  29 402;  26 114;  17 563;  8 551;  87 583;  51 198;  36 385;  24 726;  15 800;  8 926;   823;   545;   278;   191;   136;   55;  32 819;  18 244;  14 575
2008;53;Rize;  244 849;  119 631;  125 218;  22 756;  2 428;  20 328;  17 358;  4 314;  13 044;  86 965;  44 425;  42 540;  26 109;  13 125;  12 984;  12 026;  8 693;  3 333;  46 461;  27 444;  19 017;  13 309;  8 720;  4 589;   592;   392;   200;   133;   99;   34;  19 140;  9 991;  9 149
2008;54;Sakarya;  641 736;  318 723;  323 013;  42 874;  7 267;  35 607;  35 033;  12 414;  22 619;  262 663;  122 197;  140 466;  68 595;  34 426;  34 169;  36 450;  25 224;  11 226;  118 536;  71 469;  47 067;  32 837;  21 410;  11 427;  2 152;  1 438;   714;   658;   502;   156;  41 938;  22 376;  19 562
2008;55;Samsun;  926 867;  450 919;  475 948;  103 649;  21 077;  82 572;  64 990;  26 316;  38 674;  345 170;  173 687;  171 483;  104 972;  53 358;  51 614;  39 204;  25 414;  13 790;  150 847;  83 799;  67 048;  51 931;  31 178;  20 753;  2 370;  1 413;   957;   983;   680;   303;  62 751;  33 997;  28 754
