year;province_name;general_total;illiterate_total;illiterate_ratio;literate_without_diploma_total;literate_without_diploma_ratio;primary_school_total;primary_school_ratio;primary_education_total;primary_education_ratio;lower_secondary_school_total;lower_secondary_school_ratio;upper_secondary_school_total;upper_secondary_school_ratio;universities_and_other_higher_educational_institutions_total;universities_and_other_higher_educational_institutions_ratio;master_total;master_ratio;doctorate_total;doctorate_ratio;unknown_total;unknown_ratio
2022;Niğde;281431;8319;2.96;8530;3.03;62954;22.37;27766;9.87;58540;20.80;68331;24.28;40295;14.32;4644;1.65;937;0.33;1115;0.40
2022;Ordu;620052;32014;5.16;39331;6.34;134588;21.71;49262;7.94;106753;17.22;150688;24.30;93027;15.00;8444;1.36;1231;0.20;4714;0.76
2022;Rize;282104;8433;2.99;11696;4.15;52715;18.69;22075;7.83;45670;16.19;83180;29.49;50729;17.98;5088;1.80;919;0.33;1599;0.57
2022;Sakarya;835727;17770;2.13;18860;2.26;171751;20.55;67452;8.07;146038;17.47;245981;29.43;140959;16.87;15632;1.87;2646;0.32;8638;1.03
2022;Samsun;1085789;22934;2.11;59990;5.53;235432;21.68;89872;8.28;180425;16.62;270023;24.87;193699;17.84;20421;1.88;3531;0.33;9462;0.87
2022;Siirt;223264;16815;7.53;14641;6.56;24483;10.97;15558;6.97;61142;27.39;54975;24.62;30589;13.70;3332;1.49;491;0.22;1238;0.55
2022;Sinop;184573;6438;3.49;8975;4.86;50495;27.36;17954;9.73;28197;15.28;40015;21.68;27244;14.76;2623;1.42;531;0.29;2101;1.14
2022;Sivas;505387;22997;4.55;19582;3.87;97933;19.38;37168;7.35;88512;17.51;136804;27.07;84280;16.68;9384;1.86;1868;0.37;6859;1.36
2022;Tekirdağ;896659;11573;1.29;21279;2.37;171192;19.09;91464;10.20;173729;19.38;255508;28.50;149929;16.72;14458;1.61;1856;0.21;5671;0.63
2022;Tokat;481374;12005;2.49;32184;6.69;111778;23.22;42758;8.88;83917;17.43;113871;23.66;73706;15.31;7443;1.55;1393;0.29;2319;0.48
2022;Trabzon;651331;22305;3.42;28143;4.32;117413;18.03;41553;6.38;97703;15.00;192064;29.49;127872;19.63;13630;2.09;2958;0.45;7690;1.18
2022;Tunceli;71702;3858;5.38;2509;3.50;11223;15.65;4582;6.39;9156;12.77;22623;31.55;14958;20.86;1442;2.01;251;0.35;1100;1.53
2022;Şanlıurfa;1329961;107922;8.11;110918;8.34;189535;14.25;104609;7.87;383981;28.87;264271;19.87;137887;10.37;15663;1.18;1530;0.12;13645;1.03
2022;Uşak;301146;5002;1.66;11486;3.81;67767;22.50;33542;11.14;51631;17.14;74873;24.86;46875;15.57;4831;1.60;950;0.32;4189;1.39
2022;Van;766950;47236;6.16;67280;8.77;108356;14.13;60827;7.93;198333;25.86;173918;22.68;93900;12.24;11693;1.52;1642;0.21;3765;0.49
2022;Yozgat;330574;12139;3.67;15496;4.69;80001;24.20;26043;7.88;58039;17.56;82233;24.88;42931;12.99;4283;1.30;679;0.21;8730;2.64
2022;Zonguldak;488805;22406;4.58;16682;3.41;113516;23.22;44723;9.15;74933;15.33;129452;26.48;74213;15.18;7274;1.49;1201;0.25;4405;0.90
2022;Aksaray;318223;11454;3.60;10691;3.36;68611;21.56;32217;10.12;67334;21.16;71211;22.38;42897;13.48;5290;1.66;897;0.28;7621;2.39
2022;Bayburt;68055;2566;3.77;2278;3.35;11882;17.46;5514;8.10;11017;16.19;21221;31.18;11062;16.25;1293;1.90;335;0.49;887;1.30
2022;Karaman;204094;3677;1.80;5088;2.49;45395;22.24;22220;10.89;37381;18.32;49666;24.33;32600;15.97;3464;1.70;637;0.31;3966;1.94
2022;Kırıkkale;222858;6186;2.78;6239;2.80;39114;17.55;15449;6.93;39738;17.83;73430;32.95;37025;16.61;4103;1.84;556;0.25;1018;0.46
2022;Batman;430833;22931;5.32;23448;5.44;44309;10.28;35936;8.34;111057;25.78;119605;27.76;62418;14.49;7065;1.64;574;0.13;3490;0.81
2022;Şırnak;364504;23443;6.43;21195;5.81;32822;9.00;19288;5.29;109829;30.13;99741;27.36;47529;13.04;4640;1.27;271;0.07;5746;1.58
2022;Bartın;169419;5752;3.40;9271;5.47;38408;22.67;20145;11.89;26592;15.70;41155;24.29;23456;13.84;2355;1.39;496;0.29;1789;1.06
2022;Ardahan;74217;4123;5.56;2817;3.80;16330;22.00;6462;8.71;15274;20.58;17311;23.32;9789;13.19;1100;1.48;219;0.30;792;1.07
2022;Iğdır;145942;9726;6.66;9191;6.30;20812;14.26;13100;8.98;33733;23.11;34360;23.54;20141;13.80;2215;1.52;364;0.25;2300;1.58
2022;Yalova;216581;3396;1.57;4813;2.22;38130;17.61;14421;6.66;37354;17.25;64092;29.59;44288;20.45;4884;2.26;732;0.34;4471;2.06
2022;Karabük;202463;7568;3.74;6248;3.09;40696;20.10;16516;8.16;29624;14.63;56891;28.10;39228;19.38;4008;1.98;903;0.45;781;0.39
2022;Kilis;105745;2857;2.70;3359;3.18;13121;12.41;11501;10.88;26588;25.14;27750;26.24;16352;15.46;1788;1.69;259;0.24;2170;2.05
2022;Osmaniye;418100;17537;4.19;11129;2.66;66909;16.00;33614;8.04;86416;20.67;114923;27.49;71331;17.06;6818;1.63;612;0.15;8811;2.11
2022;Düzce;318994;7827;2.45;10735;3.37;63423;19.88;32605;10.22;54491;17.08;88565;27.76;52258;16.38;5286;1.66;1040;0.33;2764;0.87
2022;TR;65026277;1726445;2.65;2261470;3;11898596;16;5048202;7;12022449;15;17442997;21;12166766;13;1475690;1;242549;0;741113;1
2023;Adana;1733360;52956;3.06;63064;3.64;297587;17.17;132775;7.66;348741;20.12;482604;27.84;308683;17.81;36046;2.08;4905;0.28;5999;0.35
